R001 A1
R002 A5
R003 A9
R004 A13
R005 A17
R006 C1
R007 C5
R008 C9
R009 C13
R010 C17
R011 E1
R012 E5
R013 E9
R014 E13
R015 E17
R016 G1
R017 G5
R018 G9
R019 G13
R020 G17
R021 I1
R022 I5
R023 I9
R024 I13
R025 I17
R026 N/A
R027 N/A
R028 N/A
R029 N/A
R030 N/A
R031 N/A
R032 N/A
R033 N/A
R034 N/A
R035 N/A
R036 N/A
R037 N/A
R038 N/A
R039 N/A
R040 N/A
R041 N/A
R042 N/A
R043 N/A
R044 N/A
R045 N/A
R046 N/A
R047 N/A
R048 N/A
R049 N/A
R050 N/A
R051 N/A
R052 N/A
R053 N/A
R054 N/A
R055 N/A
R056 N/A
R057 N/A
R058 N/A
R059 N/A
R060 N/A
R061 N/A
R062 N/A
R063 N/A
R064 N/A
R065 N/A
R066 N/A
R067 N/A
R068 N/A
R069 N/A
R070 N/A
R071 N/A
R072 N/A
R073 N/A
R074 N/A
R075 N/A
R076 N/A
R077 N/A
R078 N/A
R079 N/A
R080 N/A
R081 N/A
R082 N/A
R083 N/A
R084 N/A
R085 N/A
R086 N/A
R087 N/A
R088 N/A
R089 N/A
R090 N/A
R091 N/A
R092 N/A
R093 N/A
R094 N/A
R095 N/A
R096 N/A
R097 N/A
R098 N/A
R099 N/A
R100 N/A
